date,gasStation,costPerGallon,totalPurchased,mileage,manualMPG,tripA,totalGas
4/8/2015,Liberty,2.4390,17.37,142677,,267.90,7.240
4/13/2015,Liberty,2.4390,22.20,142861,,183.50,9.100
4/27/2015,Liberty,2.7190,27.65,143133,,271.50,10.200
5/11/2015,Liberty,2.8390,25.45,143385,,282.10,8.960
5/28/2015,Liberty,2.8390,28.67,143667,,282.10,10.090
6/13/2015,Liberty,2.8990,28.82,142931,,263.80,9.940
6/24/2015,Liberty,2.9390,28.54,144189,,258.30,9.700
7/8/2015,Sunoco,2.8790,30.00,144535,,345.50,10.420
7/17/2015,Wawa,2.5190,,144800,,~286.00,
7/31/2015,Liberty,2.6990,23.07,145061,,280.00,8.550
8/14/2015,Liberty,2.5990,25.67,145346,,284.40,9.880
8/29/2015,Liberty,2.4390,24.70,145623,,277.20,10.120
,,,,,,,
9/25/2015,Liberty,2.1990,19.75,146102,,479.00,8.819
10/11/2015,Liberty,2.2390,22.44,146356,,254.10,10.021
10/29/2015,Liberty,2.2390,23.36,146620,,261.10,10.430
11/13/2015,Lukoil,2.5790,24.76,146900,,280.80,9.600
11/27/2015,Liberty,2.2790,,147158,,257.10,10.520
12/11/2015,Liberty,2.2390,21.75,147411,,253.30,9.710
12/23/2015,Liberty,2.1790,20.30,147655,,244.10,9.300
1/6/2016,Liberty,2.1390,22.33,147911,,255.60,10.430
2/9/2016,Liberty,1.9390,20.25,148148,,237.40,10.450
2/25/2016,Liberty,1.8390,18.75,148398,,250.10,10.190
3/14/2016,Liberty,1.9990,20.32,148670,,271.70,10.160
4/1/2016,Liberty,2.1390,21.92,148943,,273.30,10.240
4/27/2016,Liberty,2.3590,24.23,149204,,260.50,10.270
5/18/2016,Liberty,2.3990,24.52,149499,,294.80,10.220
6/6/2016,Liberty,2.4790,24.17,149778,,278.70,9.710
6/22/2016,Liberty,2.3990,24.01,150060,,282.20,10.000
7/18/2016,Lukoil,2.3990,24.87,150347,,286.80,10.390
8/5/2016,,,21.64,150614,,267.60,10.117
8/15/2016,,,22.08,150880,,265.90,10.043
9/3/2016,,,22.87,151204,,324.10,10.215
9/20/2016,,,23.71,151480,,275.50,10.590
10/12/2016,,,23.26,151756,,275.60,10.110
10/31/2016,,,23.81,152044,,288.60,10.260
11/16/2016,,,21.09,152294,,249.30,9.170
11/26/2016,,,22.23,152554,,260.10,9.840
12//,,,23.44,152817,,263.30,9.770
12/25/2016,,,23.94,153084,,266.80,9.980
1/10/2017,,,22.31,153332,,248.10,8.600
1/17/2017,,2.5790,24.12,153625,,292.40,9.350
1/23/2017,,2.5390,23.84,153925,,300.50,9.390
1/30/2017,BP,2.6790,26.80,154245,,320.10,10.000
2/4/2017,Liberty,2.4390,24.31,154563,,317.20,9.970
2/11/2017,Sunoco,2.5990,26.21,154890,,,10.080
2/19/2017,Liberty,2.4190,24.38,155225,,346.50,10.080
2/27/2017,Liberty,2.3990,25.46,155571,,346.50,10.610
3/6/2017,Liberty,2.3990,22.16,155908,,,9.250
3/11/2017,Liberty,2.3990,19.85,156197,,*625.7,8.280
3/8/2017,,2.4100,25.53,156535,,337.80,10.550
3/26/2017,,2.3990,6.56,154885,,350.50,2.730
3/27/2017,,2.3990,21.41,156953,,67.60,8.920
4/4/2017,,2.3990,21.15,157248,,294.80,8.820
4/9/2017,,2.5990,25.03,157580,,332.50,9.630
4/14/2017,,2.6190,18.70,157913,,332.50,7.140
4/19/2017,,2.6190,26.04,158186,,272.60,9.940
4/25/2017,,2.5990,25.43,158530,,344.40,9.780
5/1/2017,,2.6390,27.27,158847,,316.90,10.330
5/9/2017,,2.6390,26.15,159142,,,9.910
5/19/2017,,2.4990,25.72,159461,,,10.290
5/27/2017,,2.8390,18.67,159762,,,6.570
